NAME,FUNCTION LOCATION,DESCRIPTION,PARAMETERS,RETURNS,DEPENDANCY,DEPENDANCY LOCATION
,https://github.com//numpy/numpy/blob/master/numpy/_build_utils/apple_accelerate.py,,,,int_func ; uses_accelerate_framework ; get ; _all ; all ; rate ; fix ; rate ; info ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;Argument ;
uses_accelerate_framework(info):,https://github.com//numpy/numpy/blob/master/numpy/_build_utils/apple_accelerate.py,"  Returns True if Accelerate framework is used for BLAS/LAPACK  # If we're not building on Darwin (macOS), don't use Accelerate if sys.platform != ""darwin"": return False # If we're building on macOS, but targeting a different platform, # don't use Accelerate. if os.getenv('_PYTHON_HOST_PLATFORM', None): return False    r_accelerate = re.compile(""Accelerate"")    extra_link_args = info.get('extra_link_args', '') for arg in extra_link_args: if r_accelerate.search(arg): return True return False
",,,rate ; rate ; get ; diff ; rate ; get ; rate ; get ; info ; rate ; fix ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;
,https://github.com//numpy/numpy/blob/master/numpy/compat/tests/test_compat.py,,,,int_func ; join ; assert_ ; tempdir ; ,Body ;Body ;Body ;Body ;
,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py,,,,mod ; slow ; copy ; tri ; almost ; int_func ; getargs ; getargspec ; formatargspec ; get ; _all ; all ; getargs ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
ismethod(object):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py," Return true if the object is an instance method.    Instance method objects provide these attributes:        __doc__         documentation string        __name__        name with which this method was defined        im_class        class object in which this method belongs        im_func         function object containing implementation of method        im_self         instance to which this method is bound, or None",,,tri ; tri ; isin ; isin ; ,Body ;Body ;Return ;Return ;
isfunction(object):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py, Return true if the object is a user-defined function.    Function objects provide these attributes:        __doc__         documentation string        __name__        name with which this function was defined        func_code       code object containing compiled function bytecode        func_defaults   tuple of any default values for arguments        func_doc        (same as __doc__)        func_globals    global namespace in which this function was defined        func_name       (same as __name__),,,tri ; tri ; any ; isin ; isin ; ,Body ;Body ;Body ;Return ;Return ;
iscode(object):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py, Return true if the object is a code object.    Code objects provide these attributes:        co_argcount     number of arguments (not including * or ** args)        co_code         string of raw compiled bytecode        co_consts       tuple of constants used in the bytecode        co_filename     name of file in which this code object was created        co_firstlineno  number of first line in Python source code        co_flags        bitmap: 1=optimized | 2=newlocals | 4=*arg | 8=**arg        co_lnotab       encoded mapping of line numbers to bytecode indices        co_name         name with which this code object was defined        co_names        tuple of names of local variables        co_nlocals      number of local variables        co_stacksize    virtual machine stack space required        co_varnames     tuple of names of arguments and local variables ,,,tri ; count ; tri ; source ; encode ; indices ; var ; var ; size ; stack ; eq ; size ; _var ; _var ; var ; isin ; isin ; extract ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Body ;
getargs(co):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py," Get information about the arguments accepted by a code object.    Three things are returned: (args, varargs, varkw), where 'args' is    a list of argument names (possibly containing nested lists), and    'varargs' and 'varkw' are the names of the * and ** arguments or None.",,,info ; var ; where ; where ; var ; iscode ; count ; _var ; _var ; var ; mod ; var ; _var ; _var ; var ; var ; _var ; _var ; var ; var ; ,Body ;Return ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;
getargspec(func):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py," Get the names and default values of a function's arguments.    A tuple of four things is returned: (args, varargs, varkw, defaults).    'args' is a list of the argument names (it may contain nested lists).    'varargs' and 'varkw' are the names of the * and ** arguments or None.    'defaults' is an n-tuple of the default values of the last n arguments.",,,var ; var ; ismethod ; isfunction ; isfunction ; getargs ; get ; var ; getargs ; var ; ,Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;
getargvalues(frame):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py," Get information about arguments passed into a particular frame.    A tuple of four things is returned: (args, varargs, varkw, locals).    'args' is a list of the argument names (it may contain nested lists).    'varargs' and 'varkw' are the names of the * and ** arguments or None.    'locals' is the locals dictionary of the given frame. ",,,info ; var ; var ; getargs ; get ; var ; getargs ; var ; eq ; ,Body ;Return ;Body ;Body ;Body ;Body ;Body ;Return ;Argument ;
joinseq(seq):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py,,,,eq ; eq ; join ; eq ; joinseq ; join ; conv ; eq ; ,Body ;Return ;Return ;Return ;Argument ;Argument ;Argument ;Argument ;
"strseq(object, convert, join=joinseq):",https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py," Recursively walk a sequence, stringifying each element.",,,tri ; eq ; strseq ; join ; conv ; eq ; conv ; var ; ,Body ;Body ;Return ;Return ;Return ;Return ;Return ;Argument ;
"formatargspec(args, varargs=None, varkw=None, defaults=None,",https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py," Format an argument spec from the 4 values returned by getargspec.    The first four arguments are (args, varargs, varkw, defaults).  The    other four arguments are the corresponding optional formatting functions    that are called to turn names and values into strings.  The ninth    argument is an optional function to format the sequence of arguments.",,,var ; var ; joinseq ; join ; eq ; getargs ; getargspec ; get ; getargs ; var ; all ; tri ; eq ; std ; strseq ; join ; eq ; std ; std ; append ; var ; var ; append ; var ; var ; append ; join ; var ; ,Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Argument ;
,https://github.com//numpy/numpy/blob/master/numpy/compat/py3k.py,,,,int_func ; getexception ; get ; _all ; all ; asbytes_nested ; asunicode_nested ; tri ; mod ; load ; load ; load ; _info ; info ; tri ; isin ; isin ; decode ; isin ; isin ; encode ; isin ; isin ; decode ; isin ; isin ; mod ; mod ; tri ; isin ; isin ; isin ; isin ; decode ; mod ; mod ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Body ;Body ;Return ;Body ;Body ;Return ;Return ;Return ;Body ;Return ;Body ;Return ;Return ;Body ;Body ;Return ;Body ;Return ;
getexception():,https://github.com//numpy/numpy/blob/master/numpy/compat/py3k.py,,,,_info ; info ; ,Return ;Return ;
asbytes_nested(x):,https://github.com//numpy/numpy/blob/master/numpy/compat/py3k.py,,,,isin ; isin ; asbytes_nested ; ,Body ;Body ;Return ;
asunicode_nested(x):,https://github.com//numpy/numpy/blob/master/numpy/compat/py3k.py,,,,isin ; isin ; asunicode_nested ; ,Body ;Body ;Return ;
,https://github.com//numpy/numpy/blob/master/numpy/compat/setup.py,,,,int_func ; ,Body ;
,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,"Get API information encoded in C files.See ``find_function`` for how functions should be formatted, and``read_order`` for how the order of the functions should bespecified.",,,encode ; info ; find ; int_func ; join ; join ; array ; all ; array ; join ; array ; array ; join ; array ; array ; join ; array ; array ; join ; array ; array ; join ; array ; array ; join ; array ; array ; join ; array ; array ; join ; array ; conv ; array ; join ; array ; conv ; array ; join ; array ; conv ; array ; join ; array ; array ; join ; array ; array ; join ; array ; array ; join ; array ; array ; join ; array ; tri ; array ; join ; array ; array ; join ; array ; sum ; array ; join ; array ; array ; get ; join ; array ; array ; join ; array ; select ; array ; join ; array ; array ; join ; array ; array ; join ; array ; array ; mod ; join ; array ; array ; join ; array ; array ; join ; array ; array ; join ; array ; array ; join ; array ; array ; join ; array ; array ; count ; join ; array ; array ; join ; array ; array ; join ; array ; array ; join ; array ; eq ; array ; join ; array ; shape ; array ; shape ; join ; array ; array ; join ; array ; array ; join ; join ; join ; join ; join ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
file_in_this_dir(filename):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,,join ; ,Return ;
remove_whitespace(s):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,,join ; split ; split ; ,Return ;Return ;Return ;
_repl(str):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,,replace ; replace ; place ; count ; join ; count ; join ; _repl ; typename ; endswith ; typename ; typename ; typename ; join ; join ; indent ; indent ; eq ; replace ; rstrip ; strip ; replace ; place ; append ; tri ; append ; append ; join ; remove_whitespace ; typename ; remove_whitespace ; typename ; ,Return ;Return ;Return ;Body ;Return ;Body ;Return ;Return ;Body ;Body ;Body ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Body ;Body ;Body ;
"skip_brackets(s, lbrac, rbrac):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,,count ; rate ; count ; count ; count ; ,Body ;Body ;Body ;Body ;Body ;
split_arguments(argstr):,https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,,join ; strip ; tri ; strip ; tri ; typename ; typename ; append ; typename ; skip_brackets ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
"find_functions(filename, tag='API'):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,"     Scan the file, looking for tagged functions.    Assuming ``tag=='API'``, a tagged function looks like::        /*API*/        static returntype*        function_name(argtype1 arg1, argtype2 arg2)        {        }    where the return type must be on a separate line, the function    name must start the line, and the opening ``{`` must start the line.    An optional documentation comment in ReST format may follow the tag,    as in::        /*API          This function does foo...         */",,,sum ; min ; where ; rate ; where ; rate ; strip ; tri ; startswith ; endswith ; startswith ; lstrip ; strip ; tri ; append ; cond ; find ; append ; startswith ; join ; rstrip ; strip ; tri ; split_arguments ; split ; split ; join ; append ; append ; get ; source ; ,Body ;Body ;Return ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;Argument ;
"should_rebuild(targets, source_files):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,,,,get ; source ; get ; source ; ,Body ;Body ;Body ;Body ;
"write_file(filename, data):",https://github.com//numpy/numpy/blob/master/numpy/core/code_generators/genapi.py,     Write data to filename    Only write changed data to avoid updating timestamps unnecessarily,,,put ; rate ; tri ; put ; index ; index ; array ; tri ; array ; index ; index ; index ; array ; tri ; array ; index ; all ; array ; array ; index ; index ; array ; tri ; array ; index ; index ; index ; tri ; _repl ; join ; array ; tri ; array ; tri ; index ; join ; tri ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
