NAME,LOCATION,DESCRIPTION,PARAMETERS,RETURNS
,https://github.com//numpy/numpy/blob/master/numpy/_build_utils/apple_accelerate.py,,,
uses_accelerate_framework(info):,https://github.com//numpy/numpy/blob/master/numpy/_build_utils/apple_accelerate.py,"  Returns True if Accelerate framework is used for BLAS/LAPACK  # If we're not building on Darwin (macOS), don't use Accelerate if sys.platform != ""darwin"": return False # If we're building on macOS, but targeting a different platform, # don't use Accelerate. if os.getenv('_PYTHON_HOST_PLATFORM', None): return False    r_accelerate = re.compile(""Accelerate"")    extra_link_args = info.get('extra_link_args', '') for arg in extra_link_args: if r_accelerate.search(arg): return True return False
",,
,https://github.com//numpy/numpy/blob/master/numpy/compat/tests/test_compat.py,,,
,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py,,,
ismethod(object):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py," Return true if the object is an instance method.    Instance method objects provide these attributes:        __doc__         documentation string        __name__        name with which this method was defined        im_class        class object in which this method belongs        im_func         function object containing implementation of method        im_self         instance to which this method is bound, or None",,
isfunction(object):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py, Return true if the object is a user-defined function.    Function objects provide these attributes:        __doc__         documentation string        __name__        name with which this function was defined        func_code       code object containing compiled function bytecode        func_defaults   tuple of any default values for arguments        func_doc        (same as __doc__)        func_globals    global namespace in which this function was defined        func_name       (same as __name__),,
iscode(object):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py, Return true if the object is a code object.    Code objects provide these attributes:        co_argcount     number of arguments (not including * or ** args)        co_code         string of raw compiled bytecode        co_consts       tuple of constants used in the bytecode        co_filename     name of file in which this code object was created        co_firstlineno  number of first line in Python source code        co_flags        bitmap: 1=optimized | 2=newlocals | 4=*arg | 8=**arg        co_lnotab       encoded mapping of line numbers to bytecode indices        co_name         name with which this code object was defined        co_names        tuple of names of local variables        co_nlocals      number of local variables        co_stacksize    virtual machine stack space required        co_varnames     tuple of names of arguments and local variables ,,
getargs(co):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py," Get information about the arguments accepted by a code object.    Three things are returned: (args, varargs, varkw), where 'args' is    a list of argument names (possibly containing nested lists), and    'varargs' and 'varkw' are the names of the * and ** arguments or None.",,
getargspec(func):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py," Get the names and default values of a function's arguments.    A tuple of four things is returned: (args, varargs, varkw, defaults).    'args' is a list of the argument names (it may contain nested lists).    'varargs' and 'varkw' are the names of the * and ** arguments or None.    'defaults' is an n-tuple of the default values of the last n arguments.",,
getargvalues(frame):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py," Get information about arguments passed into a particular frame.    A tuple of four things is returned: (args, varargs, varkw, locals).    'args' is a list of the argument names (it may contain nested lists).    'varargs' and 'varkw' are the names of the * and ** arguments or None.    'locals' is the locals dictionary of the given frame. ",,
joinseq(seq):,https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py,,,
"strseq(object, convert, join=joinseq):",https://github.com//numpy/numpy/blob/master/numpy/compat/_inspect.py," Recursively walk a sequence, stringifying each element.",,
